stem,variant,system,dataset,sample_id,hop,wait_us,compute_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,10,280.576000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,11,301.056000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,12,334.848000,46.080000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,13,327.680000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,14,225.280000,47.104000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,15,309.248000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,16,303.104000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,17,329.728000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,18,327.680000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,19,243.712000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,20,251.904000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,21,155.648000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,22,201.728000,53.248000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,23,409.600000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,24,223.232000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,25,314.368000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,26,261.120000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,27,234.496000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,28,269.312000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,29,216.064000,43.008000
